from_date,item_description,purshase_price,selling_price,quantity
19-Feb,CHICKEN BREAST FILLET/KG,98,108.95,5.433
19-Feb,WATER 600 ML,1.637,4,69
19-Feb,SHAHD SHISH TAWOOK 400GR,42,49.95,6
19-Feb,BAGUETTE CHEDDAR SAND,7,9.95,1
19-Feb,HALAWA CHOCOLATE,36,43.95,44.672
19-Feb,DATES 200GM ALMOND,19,23.95,6
19-Feb,HALAWA PISTACHIO,58,69.95,19.152
19-Feb,GREEK SALAD,2.997,6.95,17
19-Feb,A- GINGER,49,57.95,61.246
19-Feb,A- POTATO SWEET,6.75,7.95,74.203
19-Feb,N.WHITE LOAF BREAD,7.75,10.95,79.871
19-Feb,KOFTA GRILLED/KG,84.8,120.95,2.088
19-Feb,TEA GREEN JASMINE,1.95,7,1
19-Feb,SCHWEPPES SODA 300ML,4.46,7,1
19-Feb,CHICKEN WINGS/KG,32,35.95,1.125
19-Feb,A- CAPSICUM RED,16,18.95,442.501
19-Feb,BEEF MINCE,84,89.95,216.871
19-Feb,CABBAGE BALADY,8,11.95,22
19-Feb,ABA SALTED CORN,72.336,109.95,3.471
19-Feb,EMMENTAL,155,239.95,0.288
19-Feb,BRAMILY CHEESE,46,46.95,261.418
19-Feb,N.VIENNA MINI,1.1,1.6,700
19-Feb,ARTICHOKE,3.85,4.75,44
19-Feb,BLACK LENTILS SAMO,17.963,23.95,25.618
19-Feb,N.KRAFTKORN  300GR,12.25,17.95,18.822
19-Feb,MUFFIN CHOCOLATE X6,13.178,26.95,34
19-Feb,CHEESE BRAMILY FRESH,21.21,29.95,0.618
19-Feb,RICH BEEF LUNCHEON/BLACK PEPPER,80,90.95,19.293
19-Feb,ICEBERG PC,2.25,2.5,489
19-Feb,GREEN SALAD,3.325,6.95,58
19-Feb,CHICKEN BREAST BON IN LOSS,48,54.95,174.037
19-Feb,VANILLA BISCUITS PACKET,15.5,24.95,7
19-Feb,MUFFINS ASSORTED X12,25.358,44.95,10
19-Feb,HALAWA HAZELNUT,53,64.95,15.207
19-Feb,GRIND CUMIN,82.463,109.95,23.337
19-Feb,DATES 400 GM ( FOAM PLATE),14,17.95,30
19-Feb,GREEN OLIVES WITH JORDINIAN ZAATER,22.463,29.95,0.573
19-Feb,A-CARROT,4.85,5.95,268.333
19-Feb,BEEF SAUSAGE LOW FAT,93.84,112.95,40.561
19-Feb,CRI CRI PEANUTS,48.713,64.95,12.003
19-Feb,HALAWA MIXED NUTS,53,64.95,10.914
19-Feb,BLACK FOREST 10 PERSONS,86.08,149.95,2
19-Feb,TURKISH FIGS,111.809,169.95,8.366
19-Feb,BATON SALE PLAIN PACKET,11.319,14.95,1
19-Feb,BEEF BURGER,86,104.95,31.105
19-Feb,BAL LAMB LEG,130,164.95,9.059
19-Feb,TRIFLE,11.27,14.95,134
19-Feb,ATYAB SMOKED BEEF,154,181.95,0.018
19-Feb,MEAT SPICES 1 KG,59.962,79.95,13.317
19-Feb,COCONUT,19.25,20,44
19-Feb,KATILO MESH DOMYATE-KG,32.5,38.95,18.971
19-Feb,PEANUT CHOCOLATE,49,79.95,4.555
19-Feb,MEDIUM FINO X5,3.007,6.95,53
19-Feb,ATYAB LNCHON BLACK PEPPER,86,95.95,0.272
19-Feb,CHOCOLATE&FRUITS CAKE 8PERSONS,82.033,135.95,18
19-Feb,CHICKEN LEG TANDOORY,43,47.95,0.534
19-Feb,STONE CARNATION,224.963,299.95,3.384
19-Feb,MUSHROOM 200GR,16.5,21.95,247
19-Feb,GRIND CINNAMON,59.963,79.95,15.468
19-Feb,OLIVETTA SPECIAL,14.165,19.95,39.551
19-Feb,OLIVETTA PEPPER JALAPINO SLICED,56.765,79.95,1.304
19-Feb,BIG TILAPIA 2-3PCS-KG,28,29.95,21.488
19-Feb,GOUDA OLD CHEESE,286,329.95,0.177
19-Feb,BALADI SAUSAGE/KG,96,137.95,16.698
19-Feb,RICH BEEF LUNCHEON/OLIVES,80,90.95,18.523
19-Feb,LUPINE,29.963,39.95,2.545
19-Feb,PASTA BECHAMEL/KG,39,62.95,152.351
19-Feb,STRAWBERRY PACKED 1KG,16,17.95,69
19-Feb,A- AVOCADO,41,46.95,84.601
19-Feb,PARROT FISH (HARED),85,124.95,1
19-Feb,CAULIFLOWER,6.9,8.5,67
19-Feb,LONG FINO X10,6.254,13.95,152
19-Feb,PACKET BOUKSOMAT PLAIN LARGE,12.87,20,36
19-Feb,BASIL BALADY 100GR,5.5,5.95,13
19-Feb,A- ONION RED,6.3,7.95,441.9
19-Feb,SABEEL LIVER&GIZZARD 1 KG,51,59.95,10
19-Feb,MULLET GRILLED/KG,77.5,102.95,3.348
19-Feb,N.CIMIT BREAD SMALL,4.5,5.95,140
19-Feb,MEDIUM TILAPIA(3-4PC/K),24.75,25,164.273
19-Feb,WAFFER,37.463,49.95,1.786
19-Feb,STONE CHOCLATE,59.178,89.95,7.839
19-Feb,PASTA CHICKEN SALAD,5.525,8.95,8
19-Feb,SABEEL LEG 1KG,35,38.95,164
19-Feb,TAGINE POTATOS/KG,26,57.95,7.332
19-Feb,FENOKIA BALADY 100GR,3,5.95,3
19-Feb,DRIED MANGO KG,210.493,319.95,14.001
19-Feb,KIRI CHEESE HOT CHILI,43,50.95,13.983
19-Feb,DATE ROTAAB,11.75,12.95,44.334
19-Feb,A-KIWI 500GM PUNNET,14.5,14.95,6
19-Feb,LAURIE,50.963,67.95,13.27
19-Feb,HALWANI BL PEPPER BF LNCHON,77.44,80,46.974
19-Feb,HALWANI TRKEY SMOKED,149,171.95,43.913
19-Feb,JUICE MANGO 500ML,18,22.95,3
19-Feb,SHAHD WHOLE CHICKEN 1400-1500,75.4,88.95,10
19-Feb,N.MULTISEED BAGUETTE,5.9,8.95,143
19-Feb,TESTICLES,88,103.95,0.138
19-Feb,OLIVETTA GP LEAVES,24.815,34.95,31.74
19-Feb,KOFTA DAWOOD BASHA/KG,73,105.95,24.312
19-Feb,A-RED CHILI,14,16.95,58.012
19-Feb,GROATS KRNAZY,22.463,29.95,13.11
19-Feb,JUICE AVOCADO 250ML,19.5,22.95,1
19-Feb,A-CHILI GREEN TOLL,8.4,10.95,49.927
19-Feb,MINI PASTRY,34.997,100,16.656
19-Feb,LONG FINO X5,3.368,7.95,102
19-Feb,ABA DRIED APRICOT,124.967,189.95,11.606
19-Feb,A-ONION YELLOW,6.15,7.95,308.578
19-Feb,RADISH RED,3.7,4.45,44
19-Feb,KIRI CHEESE BASTERMA,57,67.95,66.698
19-Feb,CHICKEN STRIPS SANDWICH,10.05,21,1
19-Feb,EMNTAL CHEESE SWISS,393.3,489.95,1.724
19-Feb,CINNAMON ROLL,6.5,14.95,2
19-Feb,NABAT OAKLEAF LETTUCE RED,18.7,21.95,6
19-Feb,A-LEMON SEEDLESS,9.75,9.95,42.653
19-Feb,PEAS,16,17.95,31.514
19-Feb,HOT DOG SANDWICH,6,11,64
19-Feb,HALWANI MEAT BF LNCHON,110,124.95,8.325
19-Feb,COKE LIGHT 355 ML,4.46,7,29
19-Feb,FLEX SEEDS,29.963,39.95,18.084
19-Feb,ORANGE NAVEL 8KG CARTON,27,29.95,2
19-Feb,GRANA BADANO CHEESE,259,324.95,3.581
19-Feb,SALT.SARD.VAC,61,74.95,2.827
19-Feb,KAYSER PLAIN X5,3.368,7.95,9
19-Feb,FARM-GOUDA SMOKED,110,129.95,2.329
19-Feb,HONEY DATES 350 GM ( JAR),15,18.95,61
19-Feb,QARNATION CUCUMBER,85.165,119.95,14.766
19-Feb,VALUE MIX,164.963,219.95,0.064
19-Feb,CORN CHEESE FLAVOR,78.914,119.95,3.036
19-Feb,SHAHD CHICKEN GIZZERD,24.75,29.95,8
19-Feb,N.CHOCOLATE PATE,6.3,8.95,111
19-Feb,WHOLE DUCK/KG,55,74.95,6.1
19-Feb,VIRGINIA FISH,65,74.95,2.453
19-Feb,NIGELLA SATIVA,41.213,54.95,12.526
19-Feb,EXPRESSO DOUBLE,9.5,18,2
19-Feb,CASHEW SMOKED FLAVOR,319.046,484.95,1.513
19-Feb,A-CARROT GRADE A,6,7.45,0.245
19-Feb,XP CABBAGE WHITE,8.5,11.95,12
19-Feb,DONUTS ASSORTED X2,4.746,9.5,22
19-Feb,A- CAPSICUM YELLOW,16,18.95,447.462
19-Feb,ZUCCHINI FOAM 1KG,13.25,18.95,6
19-Feb,SHAHD FILLET CHICKEN 1KG  052,99,109.95,53
19-Feb,RICH LUNCHEON CHICKEN PLAIN,80,95.95,6.858
19-Feb,BOUSOUMAT SESAME,12.548,39.95,0.437
19-Feb,OLIVETTA SPANISH PEPPER,106.465,149.95,0.327
19-Feb,A-ADALIA LEMON,4.35,5.95,195.609
19-Feb,ICE CREAM CHOCOLATE SAUCE,2.05,6,687
19-Feb,PEANUT IN SHELL SALTED MED,29,32.95,162.461
19-Feb,BROWN MED FINO X5,2.905,6.95,5
19-Feb,DATES ALMOND 30 DATES MDF PAC,35,49.95,1
19-Feb,OLIVETTA SLI NATU,49.665,69.95,0.649
19-Feb,FARM-MOZZERLLA SHREDED,56,69.95,28.084
19-Feb,TURKISH COFFEE,2.604,6,460
19-Feb,SPROUTS CHARD 100GR,3.5,4.75,12
19-Feb,PIZZA SLICE CHICKEN,8.6,17,17
19-Feb,TILAPIA OIL AND LEMON/KG,50.75,68.75,7.389
19-Feb,MOMBAR/KG,43,59.95,60.862
19-Feb,IM BEEF FOUNDO,107,136.95,8.07
19-Feb,ABA CHOCO. DRAGEES,105.23,159.95,0.05
19-Feb,DOMTY SOFT BRAMILY,30,34.25,0.494
19-Feb,ISIS DATE W.NUT 500GR,58,72.95,15
19-Feb,ONION GOLDEN 4KG,21,20,9
19-Feb,WHITE FOREST 8 PERSONS,69.568,109.95,8
19-Feb,HERBS R.TH.M.L. MIX2,4.75,4.95,6
19-Feb,ROMY BATAREKH WITH PEPPER,84.1,94.95,281.579
19-Feb,CAKE POUND CHOCOLATE,16.339,29.95,5
19-Feb,HALWANI PLAIN CHCKEN LNCHON,88,97.95,20.61
19-Feb,ORANGE VALENCIA FOR JUICE,2.5,2.95,342.568
19-Feb,N.PIZZA DOUGH,4.5,6.5,250
19-Feb,SUMAC,89.963,119.95,5.233
19-Feb,IM BEEF SHANK,105,139.95,48.202
19-Feb,A- GRAPEFRUIT PINK,7,7.95,174.1
19-Feb,A-ORANGE BALADY FOR JUICE,2.5,2.95,404.524
19-Feb,A-EGGPLANT BIG SIZE,11.5,9,93.917
19-Feb,BONES,0.01,5.95,52.304
19-Feb,CARROT 500GR,4.25,5.45,1
19-Feb,SABEEL WINGS 1KG,30.75,36.95,3
19-Feb,LASAGNA/KG,71,102.95,0.674
19-Feb,HERRING FILLET VAC,120,139.95,3.217
19-Feb,PETIT CAKE 1,6.64,10.95,67
19-Feb,ROSEMARY BALADY 100GR,6.15,6.75,17
19-Feb,A- APPLE RED DARK,22.75,22.95,49.002
19-Feb,RICE MILK TAGEN,6.35,14.95,13
19-Feb,TOFFIE,32.862,49.95,12.401
19-Feb,FRYING FISH/KG,4,7,1.054
19-Feb,WATERCRESS 50GR,0.8,0.95,93
19-Feb,A-LEMON BALADY,10.45,9.95,270.935
19-Feb,LHEMY BEEF LUNCHEON MEAT PIECES,80,92.95,0.301
19-Feb,A-APPLE GREEN IMPORT,27.5,29.95,79.797
