DISCOUNT,DATE,QUANTITY
65,6/26/2024,430
,6/2/2024,78
35,8/11/2024,108
55,5/2/2024,312
,4/26/2024,407
86,8/14/2024,452
,9/3/2024,138
,8/25/2024,404
,4/23/2024,293
44,5/10/2024,431
,6/30/2024,308
,8/31/2024,380
33,4/14/2024,80
57,2/9/2024,460
,4/16/2024,447
,6/16/2024,110
79,7/2/2024,449
,4/7/2024,105
,2/16/2024,452
83,4/8/2024,187
17,6/4/2024,184
,5/25/2024,83
,5/11/2024,59
41,5/18/2024,92
59,8/21/2024,165
26,7/31/2024,168
,1/28/2024,48
38,4/13/2024,224
19,4/2/2024,292
71,5/6/2024,452
,7/23/2024,197
,6/24/2024,24
,8/20/2024,154
13,4/29/2024,222
,6/25/2024,403
44,2/9/2024,443
,9/2/2024,480
,8/11/2024,39
,1/22/2024,288
,6/14/2024,99
,7/15/2024,101
50,2/23/2024,349
,4/22/2024,171
22,1/10/2024,269
,7/24/2024,20
,7/1/2024,198
,4/6/2024,421
,4/21/2024,388
,4/23/2024,80
81,6/26/2024,213
,2/16/2024,49
,7/30/2024,440
83,1/25/2024,34
30,8/30/2024,62
87,2/27/2024,42
60,5/11/2024,74
40,2/5/2024,487
52,2/24/2024,399
36,5/24/2024,253
,8/26/2024,198
44,8/2/2024,474
,2/25/2024,53
31,3/16/2024,479
,2/17/2024,141
88,7/31/2024,82
44,2/18/2024,278
64,1/9/2024,469
60,5/23/2024,329
45,5/13/2024,267
,3/15/2024,282
,8/24/2024,309
,2/26/2024,467
67,6/17/2024,104
,6/7/2024,395
27,6/1/2024,421
65,8/10/2024,421
,6/10/2024,55
,3/18/2024,193
,7/12/2024,339
,3/25/2024,137
,1/24/2024,465
,1/21/2024,321
33,4/9/2024,288
56,2/21/2024,124
89,5/13/2024,186
,5/19/2024,42
,4/2/2024,103
,5/13/2024,161
25,8/7/2024,177
,6/25/2024,352
,8/8/2024,487
23,3/12/2024,320
14,3/15/2024,63
52,4/27/2024,156
82,7/29/2024,122
62,5/22/2024,376
,7/13/2024,460
64,3/21/2024,26
30,2/19/2024,266
58,4/25/2024,132
21,6/5/2024,232
31,7/25/2024,266
63,8/23/2024,407
30,2/22/2024,47
20,5/16/2024,208
63,8/4/2024,399
72,5/22/2024,438
,5/26/2024,344
,7/16/2024,471
,7/21/2024,128
,2/17/2024,446
77,3/7/2024,166
