timestamp,title,seller_name,brand,description,final_price,categories,image_url,item_weight,rating,discount,department,features,images
"2024-09-01 00:00:00.000","Lux Pro P521U Programmable 5-2 Day Thermostat for Home Use; 2 Heat, 1 Cool","Lux███erm███ats███","LUX","Customize your display with Fahrenheit or Celsius options. Set adjustable heating and cooling limits. Choose between AM/PM or military time. Selectable smart recovery for efficient heating and cooling. Adjust temperature differential/swing and calibrate user temperature. Dual-powered for reliability with 2 AA alkaline batteries","2.599000000000000e+01","[""Tools & Home Improvement"",""Building Supplies"",""HVAC"",""Thermostats & Accessories"",""Thermostats"",""Nonprogrammable""]","https://m.media-amazon.com/images/I/51x1kFSC3eL._AC_SL1500_.jpg","0.11 Pounds",4.5,"-13%","Tools & Home Improvement","[""Enjoy easy installation and a large display with backlight, ensuring effortless operation and clear visibility"",""This product is built to last, offering high durability for long-lasting performance and reliability"",""Set separate programs for weekdays and weekends, allowing for customized temperature settings based on your weekly schedule"",""Choose between 2 or 4 periods per day for flexible scheduling. Adjust heating and cooling limits for precise temperature control"",""Manufactured in China Made with precision and quality""]","[""https://m.media-amazon.com/images/I/51x1kFSC3eL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61e1h5XhisL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/815W4HFL8FL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61QBDAxWl+L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71-yLSFcCDL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61Ycz6iC2CL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/51Fc4WYfkoL._AC_.jpg"",""https://m.media-amazon.com/images/I/51H+T7nkfgL._AC_.jpg"",""https://m.media-amazon.com/images/I/51hHT8d0L3L._AC_.jpg""]"
"2024-09-01 00:00:00.000","Writing Instrument Correction Tape, 6 Pack, Film-Based, Instant White It Out, 1/5 Inch X 32.8 Ft, Ergonomic Design","Dynta","Dynta","Previous page No dry time Unlike liquid correction fluid, our tape allows for immediate re-writing without the need to wait for it to dry. Translucent Dispenser Our correction tape dispensers come with 32.8 feet of white correction tape that measures 1/5-inch in width, and feature a transparent design that allows you to easily see how much tape is remaining. Film-based tape This tape made from a film material is stronger and more tear-resistant than paper-based tape, resulting in corrections that are neat, subtle, and able to last for an extended period of time. Suitable Width The 5mm width of our correction tape allows you to make precise corrections without accidentally covering neighboring text or lines. Clean and Convenient Each tape comes with a cap that protects the tape from getting dirty or damaged when not in use, making it convenient for on-the-go corrections. Next page     Other correction tapes available for your selection! Correction Tape 6-Count Add to Cart Correction Tape 28-Count Add to Cart Correction Tape 4-Count See Details Correction Tape 12-Count See Details Correction Tape 24-Count Add to Cart Customer Reviews 4.4 out of 5 stars 61 4.4 out of 5 stars 61 4.2 out of 5 stars 65 4.4 out of 5 stars 56 4.2 out of 5 stars 65 Price $4.99$4.99 $16.99$16.99 — — $9.99$9.99 Width of Tape 0.2inx32.8 ft(5mmx10m) 0.2inx32.8 ft(5mmx10m) 0.2inx32.8 ft(5mmx10m) 0.2inx32.8 ft(5mmx10m) 0.2inx32.8 ft(5mmx10m) Left-Handed Use ✔ ✔ ✔ ✔ ✔ Right-Handed Use ✔ ✔ ✔ ✔ ✔ Number of Items 6 28 4 12 24 About It Vertical for best results! It's basic, but durable! Very smooth to apply. Suitable for all ages. Easy to use.","4.990000000000000e+00","[""Office Products"",""Office & School Supplies"",""Writing & Correction Supplies"",""Erasers & Correction Products"",""Correction Tape""]","https://m.media-amazon.com/images/I/7127vjbViqL._AC_SL1500_.jpg","3.52 ounces",4.4,"-5%","Office Products","[""Abundant Correction Tape Each dispenser comes with 1/5-inch by 32.8 feet of white correction tape. Easily monitor the remaining tape for worry-free corrections"",""Instant and Mess-free Say goodbye to waiting time and messy correction fluids. Our dry application tape allows you to write over corrections instantly"",""Superior Film-based Tape Experience flawless, long-lasting corrections with our film-based tape, known for its exceptional strength and tear resistance"",""Comfortable and Efficient The ergonomic design ensures comfortable corrections all day long, achieving precise and efficient results, even during extended use"",""Complete Package Enjoy a 28-Pcs of correction tape for smooth and instant fixes. Compatible with fine gel pens and rolling ball pens, making it a versatile addition to your stationery collection""]","[""https://m.media-amazon.com/images/I/7127vjbViqL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/610D1W6VBrL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/715pJUQxh4L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61CDtJ9N8AL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61FPGzUZYiL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61VK1F1Gr+L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/719So5dmNeL._AC_SL1500_.jpg""]"
"2024-09-01 00:00:00.000","Game by Water Sports - Beach, Tailgate, Camping, Yard, and Pool Games- Indoor/Outdoor Kids Toys - Pool Accessories Perfect for Family Game Night (Red/White/Blue)","Ama███.co███","Water Sports","BULZiBUCKET- Next Generation Cornhole is bringing hacky sack back to a new level! With 3 tiers of scoring, partner assists, money bags and a collapsible design, BULZiBUCKET brings gaming experience unlike anything on the market. Elevate your party's tailgate, BBQ, Camping Trip, or Beach Day to the next level with the most exciting and interactive yard game available. BULZiBUCKET (pronounced Bullseye) toss game attracts competitive play from gamers of all ages and will keep your family entertained for hours! Why play cornhole, when you got BULZiBUCKET, a lighter, easier alternative game to take to the beach.","6.998999999999999e+01","[""Toys & Games"",""Sports & Outdoor Play"",""Bean Bags & Footbags"",""Footbags""]","https://m.media-amazon.com/images/I/51TQyIlP4SS._AC_SL1000_.jpg","7.13 pounds",4.7,"","Toys & Games","[""Complete Set Backyard Games Includes 2 heavy-duty collapsible targets, 6 Hack-Itsacks (3 for each team), a backpack carrying case, and instructions for a ready-to-go game package"",""Versatile Outdoor Games Perfect games for any swimming pool, tailgate, camping adventure, beach visit, picnic, or BBQ. Add these fun games for family to your pool toys collection today"",""Multi-Style Outdoor Toys Play these lawn games in three different styles—throw it, assist it, or hack it. Suitable for a wide range of players, including soccer enthusiasts, hacky sackers, and cornhole players of all ages"",""Quick Assembly Kids Toy and Game Takes less than 20 seconds to assemble and breakdown, making it ultra-portable with a convenient carrying case, ideal for camping games and a beach must haves"",""Compact and Exciting Family Games 1/10th the size and weight of corn hole, yet packed with more variety and excitement. Enjoy these dynamic beach games, outdoor play for all ages""]","[""https://m.media-amazon.com/images/I/51TQyIlP4SS._AC_SL1000_.jpg"",""https://m.media-amazon.com/images/I/61P4R5w95mS._AC_SL1000_.jpg"",""https://m.media-amazon.com/images/I/616HIcz1j9S._AC_SL1000_.jpg"",""https://m.media-amazon.com/images/I/61+wCL3WtHS._AC_SL1000_.jpg"",""https://m.media-amazon.com/images/I/61OX8slwbhS._AC_SL1500_.jpg""]"
"2024-09-01 00:00:00.000","Vastar 2 Packs Adjustable Pet Dog Cat Car Seat Belt Safety Leash Vehicle Seatbelt Harness","xia███uny███","Vastar","About this item Our dog car seat belt attachment made of high quality nylon fabric to ensure safety, features the solid zinc alloy swivel snap and metal buckles guarantee extra durability. Note: the tab on the seatbelt clip is 2cm, please check your buckle's size and compatibility before purchase our dog doggy car restraint. Dog seatbelt tether keep your pet safely restrained and secure in vehicle while driving, and allows your dog to sit, stand or lie down comfortably in a car without distracting the driver. Hassle-free puppy seatbelt clip designed to latch into your car with ease. Updated the appearance of with Vastar logo, better in preventing counterfeit; doggie seat belt for car for most pet harness you may own.","7.770000000000000e+00","[""Pet Supplies"",""Dogs"",""Collars, Harnesses & Leashes"",""Harnesses"",""Vehicle Harnesses""]","https://m.media-amazon.com/images/I/71K+LDqP6NL._AC_SL1500_.jpg","2.01 ounces",4.6,"-14%","Pet Supplies","[""Our dog car seat belt attachment made of high quality nylon fabric to ensure safety, features the solid zinc alloy swivel snap and metal buckles guarantee extra durability."",""Note the tab on the seatbelt clip is 2cm, please check your buckle's size and compatibility before purchase our dog doggy car restraint."",""Dog seatbelt tether keep your pet safely restrained and secure in vehicle while driving, and allows your dog to sit, stand or lie down comfortably in a car without distracting the driver."",""Hassle-free puppy seatbelt clip designed to latch into your car with ease."",""Updated the appearance of with Vastar logo, better in preventing counterfeit; doggie seat belt for car for most pet harness you may own.""]","[""https://m.media-amazon.com/images/I/71K+LDqP6NL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/719aJUKA-BL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71CQ2m7l1PL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/710p9bbew-L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71GHkinVONL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71gcuVKGagL._AC_SL1500_.jpg""]"
"2024-09-01 00:00:00.000","Zyliss 3-in-1 Mango Slicer, Peeler and Pit Remover Tool - Kitchen Mango Depitter & Peeler Gadget - Fruit Slicer with Micro-Serrated Stainless Steel Blader - Mango Corer for Easy Use","Pat███n P███ess██████","Zyliss","Prep Place mango on the silicone fruit holder Cut Position blade and press down to remove the pit Peel Carve away skin using the sides of the fruit holder","1.899000000000000e+01","[""Home & Kitchen"",""Kitchen & Dining"",""Kitchen Utensils & Gadgets"",""Peeling, Grating & Slicing Tools"",""Peelers""]","https://m.media-amazon.com/images/I/611VLpZQWML._AC_SL1500_.jpg","8 ounces",4.5,"-5%","Home & Kitchen","[""Fruit Slicer & Cutter Gadget This Innovative kitchen tool peels, slices, and removes the pit of a mango with ease"",""Mango Slicer with Unique Design The mango slicer and peeler has a unique design that acts as a 2-in-1 for peeling the mango and holding it in place"",""Quality Mango Pit Remover THis mango pitter tool has micro-serrated, stainless steel blades for effortless slicing through tough mango skins"",""Fruit Slicer with Versatility The mango slicer and peeler features a blade shape perfect for removing mango pits of various sizes"",""Zyliss Kitchen Accessories Zyliss kitchen tools are favored by everyday cooks & gourmet chefs alike""]","[""https://m.media-amazon.com/images/I/611VLpZQWML._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71cl1jyEgEL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71xQjU4zVOL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71-BGyNuH7L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/7113GXj40FL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71s0hAzmd0L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71Kl9FX8pxL._AC_SL1500_.jpg""]"
"2024-09-01 00:00:00.000","Nexcare Gentle Paper Tape, Medical Paper Tape, Secures Dressings and Lifts Away Gently - 1 In x 10 Yds, 2 Rolls of Tape","Ama███.co███","3M","Nexcare Gentle Paper Tape is gentle on the skin with an adhesive formula that can be easily removed for minimal discomfort. Commonly called ""paper tape"" by clinicians, this medical tape lifts away gently but provides up to a 24 hour hold. Use medical adhesive tape on sensitive skin or when frequent dressing changes are needed. The conformable paper tape easily conforms to fingers, wrists and elbows and is non-irritating for safe use on delicate skin. Made without natural rubber latex, this first aid tape is hypoallergenic and dermatologist-tested. This pack includes two rolls, so you can keep one at home and the other in your first aid kit.","3.990000000000000e+00","[""Health & Household"",""Health Care"",""First Aid"",""Bandages & Bandaging Supplies"",""First Aid Tape""]","https://m.media-amazon.com/images/I/51odDAQuOdL._AC_.jpg","",4.5,"-37%","Health & Household","[""GREAT FOR FREQUENT CHANGES 2 rolls of 1-in x 10-yds Nexcare Gentle Paper Tape (known in hospitals as 3M Micropore Surgical Tape) with a gentle adhesive that can be easily removed for minimal discomfort"",""SECURE Firmly secures gauze for dressing wounds"",""CONFORMABLE Tape easily wraps around fingers, wrists and elbows"",""BREATHABLE Non-irritating and breathable medical paper tape feels comfortable against the skin"",""TEARABLE Medical tape tears easily in both directions and adheres to wet skin for hassle-free application"",""DERMATOLOGIST-TESTED Hypoallergenic medical adhesive tape is not made with natural rubber latex"",""HOME OR ELSEWHERE Pack includes two rolls, so you can keep one at home and one in your first aid kit""]","[""https://m.media-amazon.com/images/I/51odDAQuOdL._AC_.jpg""]"
"2024-09-01 00:00:00.000","Dr. Scholl's ODOR-X ATHLETE'S FOOT MEDICATED LIQUID SPRAY, 5.3 oz // 24-Hour Relief of Itching & Burning, Instantly Cools, Cures & Prevents Most Athlete's Foot, Destroys Odors Instantly","Ama███.co███","Dr. Scholl's","Dr. Scholl’s Instant Cool Athlete’s Foot Treatment Spray treats and beats Athlete’s Foot to stop the itch and burn. Utilizing clinically proven Tolnaftate, the relief you need is just a spray away. Plus, get the added benefit of instant cooling to forget about your Athete's Foot and take on the day.","6.270000000000000e+00","[""Health & Household"",""Health Care"",""First Aid"",""Antifungals"",""Athletes Foot Remedies""]","https://m.media-amazon.com/images/I/711thefCyGL._SL1500_.jpg","",4.5,"-37%","Health & Household","[""24-HOUR RELIEF; Dr. Scholl's Odor-X Athlete's Foot Medicated Liquid Spray is clinically proven to provide 24-hour relief of itching and burning PLUS instant cooling"",""CURES & PREVENTS; While other athlete's foot sprays often cure most athlete's foot, Dr. Scholl's Odor-X Athlete's Foot Medicated Liquid Spray both cures AND prevents most athlete's foot"",""DESTROYS ODORS INSTANTLY; As a part of the Odor-X family of products, this liquid spray contains odor fighting ingredients that destroy foot odors instantly"",""DOCTOR RECOMMENDED, LOVED BY FEET!"",""FROM THE EXPERTS IN FOOTCARE; For more than a century, Dr. Scholl’s has strived to advance the science of movement, foot care and lower body health with a mission to help people be more active and move comfortably every day of their lives.""]","[""https://m.media-amazon.com/images/I/711thefCyGL._SL1500_.jpg"",""https://m.media-amazon.com/images/I/71TFEcRGr2L._SL1500_.jpg"",""https://m.media-amazon.com/images/I/7102W5jpkTL._SL1500_.jpg"",""https://m.media-amazon.com/images/I/71HgP0eAgrL._SL1500_.jpg"",""https://m.media-amazon.com/images/I/81CyQvSTtUL._SL1500_.jpg"",""https://m.media-amazon.com/images/I/71EmW-ipZ0L._SL1500_.jpg"",""https://m.media-amazon.com/images/I/81P6uyPvLRL._SL1500_.jpg"",""https://m.media-amazon.com/images/I/61fxEaRAwvL._SL1500_.jpg""]"
"2024-09-01 00:00:00.000","Rapidclean Pro Filter Only Compatible with Eureka Rapidclean Pro Stick NEC180 NEC280TL NEC380 NEC480 NEC185 NEC186 NEC190 Vacuum Cleaner.","HUA███YAN███","Kaulolado","About this item 🌿 NEC180 Filter Fit Models : Only Compatible with Eureka RapidClean Pro NEC180 NEC380 NEC480 NEC185 NEC186 NEC190 Vacuum Cleaner.Attention, attention!!! --Please check the machine model before placing an order. 🌿 NEC180 Filter Accessories Include : NEC180 Replacement Filters Contains 2 Pack Flet Filter Kit. 🌿 NEC180 Filters Premium : Genuine HEPA filter captures 99.97% of airborne particles as small as 0.3 microns. 🌿 High-quality air : If you have very high air quality requirements, NEC180 Filters can help you. 🌿 Easy to Replace : No need to use any tools to replace, It is recommended to replace the NEC180 Filter within 180 days for optimum performance. › See more product details","1.188000000000000e+01","[""Industrial & Scientific"",""Janitorial & Sanitation Supplies"",""Vacuums & Floor Cleaning Machines"",""Vacuum Accessories"",""Vacuum Filters"",""Upright Filters""]","https://m.media-amazon.com/images/I/71kEQhLBCHL._AC_SL1500_.jpg","11.7 ounces",4.6,"-15%","Industrial & Scientific","[""🌿 NEC180 Filter Fit Models Only Compatible with Eureka RapidClean Pro NEC180 NEC380 NEC480 NEC185 NEC186 NEC190 Vacuum Cleaner.Attention, attention!!! --Please check the machine model before placing an order."",""🌿 NEC180 Filter Accessories Include NEC180 Replacement Filters Contains 2 Pack Flet Filter Kit."",""🌿 NEC180 Filters Premium Genuine HEPA filter captures 99.97% of airborne particles as small as 0.3 microns."",""🌿 High-quality air If you have very high air quality requirements, NEC180 Filters can help you."",""🌿 Easy to Replace No need to use any tools to replace, It is recommended to replace the NEC180 Filter within 180 days for optimum performance.""]","[""https://m.media-amazon.com/images/I/71kEQhLBCHL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71TpzxnefHL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71ycX4nFaoL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71+SORkSFVL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/614h8qRR9kL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/61MIKSWguuL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71hpvydbIBL._AC_SL1500_.jpg""]"
"2024-09-01 00:00:00.000","26 Quart Electric Roaster Oven with Visible & Self-Basting Lid, Large Turkey Roaster with Defrost Warm Function, Adjustable Temperature, Removable Pan Rack, Stainless Steel, Silver","MC8███ire███","Kiss the Water","About this item 【Making Delicious Food Easily】You can adjust the temperature between 150-450°F degrees depending on the food you are baking. The electric roaster oven can be used for baking, roasting, slow cooking, not only for turkey, but also for beef, ham, potatoes and more. 【Defrost & Warm Function】You can defrost your turkey in hours, with a preheat time of only 15-20 minutes, light will turn off once the set temperature is reached. Warm function keeps food at the perfect serving temperature at all times. 【Easy to Clean】Stainless steel roaster is equipped with a metal inner rack and a removable roasting pan. Easy-to-remove design makes cleaning easier, enjoy easy kitchen life. 【Practical and Compact Design】This roaster oven is equipped with self-basting lid, which can continuously circulate the water and evenly distributes heat to make the turkey tender and juicy. The visible lid also reduce the need to open the lid during cooking. Anti-scald handles on the lid and pot reduce the risk of burns. 【Satisfaction Guaranteed】We are committed to providing our customers with a perfect shopping experience. If you have any questions about our roaster oven, please do not hesitate to contact us. We will do our best to solve your problem quickly and efficiently.","1.099900000000000e+02","[""Home & Kitchen"",""Kitchen & Dining"",""Small Appliances"",""Ovens & Toasters"",""Rotisseries & Roasters""]","https://m.media-amazon.com/images/I/71xjFCF28-L._AC_SL1500_.jpg","16.76 pounds",4.4,"-8%","Home & Kitchen","[""【Making Delicious Food Easily】You can adjust the temperature between 150-450°F degrees depending on the food you are baking. The electric roaster oven can be used for baking, roasting, slow cooking, not only for turkey, but also for beef, ham, potatoes and more."",""【Defrost & Warm Function】You can defrost your turkey in hours, with a preheat time of only 15-20 minutes, light will turn off once the set temperature is reached. Warm function keeps food at the perfect serving temperature at all times."",""【Easy to Clean】Stainless steel roaster is equipped with a metal inner rack and a removable roasting pan. Easy-to-remove design makes cleaning easier, enjoy easy kitchen life."",""【Practical and Compact Design】This roaster oven is equipped with self-basting lid, which can continuously circulate the water and evenly distributes heat to make the turkey tender and juicy. The visible lid also reduce the need to open the lid during cooking. Anti-scald handles on the lid and pot reduce the risk of burns."",""【Satisfaction Guaranteed】We are committed to providing our customers with a perfect shopping experience. If you have any questions about our roaster oven, please do not hesitate to contact us. We will do our best to solve your problem quickly and efficiently.""]","[""https://m.media-amazon.com/images/I/71xjFCF28-L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71bLu4fvpDL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71LBI-Og8JL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/91lFNZFud4L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71CWpk8qeoL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71NW0sSfrBL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/81BcuuUJVqL._AC_SL1500_.jpg""]"
"2024-09-01 00:00:00.000","MTLEE Birthday Candle Macaron Glitter 3D Number Candle with 12 Pcs Rainbow Spiral Candles in Holders for Girl Boy Cake Topper Wedding Anniversary Pastel Sweet Theme Party Decoration (Number 6)","Yin███","MTLEE","Number 2 Number 3 Number 4 Number 5 Number 6 Add to Cart Add to Cart Add to Cart Add to Cart Add to Cart Customer Reviews 4.7 out of 5 stars 54 4.7 out of 5 stars 54 4.7 out of 5 stars 54 4.7 out of 5 stars 54 4.7 out of 5 stars 54 Price $8.99$8.99 $8.99$8.99 $8.99$8.99 $8.99$8.99 $8.99$8.99","8.990000000000000e+00","[""Home & Kitchen"",""Home Décor Products"",""Candles & Holders"",""Candles"",""Specialty Candles"",""Birthday Candles""]","https://m.media-amazon.com/images/I/61bLOUlm3qL._AC_SL1500_.jpg","3.2 ounces",4.7,"-10%","Home & Kitchen","[""Versatile Design for Most Occasions featuring an elegantly stylish design, the macaron colored candle set contains 1 number [6] macaron birthday cake candle and 12 spiral macaron candles, making it a good decorative addition to not just birthday celebrations, but also occasions like unicorn themed parties, baby shower parties, anniversaries, family gatherings, Halloween parties, weddings, Christmas parties and other major holidays"",""Ideal Sizing for the Cake with the number birthday candle measuring about 1.57 x 2.95 inches/ 4 x 7.5 cm (Wide x Height), not including the 1.89 inches/ 4.8 cm plastic holder, and each spiral candle measuring about 3.1 inches in length, these candles are ideally sized to stand out on your cake without overwhelming it; Please ensure to measure before purchase to enjoy an exquisite cake and candle combination"",""Craftsmanship and Quality prioritizing both aesthetics and safety, these macaron rainbow candles for cake are made from paraffin wax; Trusted and reliable, you can confidently celebrate with the peace of mind knowing that your candles are safe"",""Vibrant Colors the macaron birthday candles come complete with a candle holder for an elegant and fashionable look, and each box of spiral candles features 6 different pastel macaron series colors, light purple, light blue, light green, light yellow, light orange and light pink, which can ideally match any cake design"",""Easy to Use each of the birthday cake candles includes a candle holder and can be easily inserted into the cake and held securely; Not only do these candles look good, but they're also practical and easy to use, adding to the joy of your celebrations""]","[""https://m.media-amazon.com/images/I/61bLOUlm3qL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71xa7OdJbiL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71mF+y+34fL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71K1Y3RpA+L._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/81ynb4JsqZL._AC_SL1500_.jpg"",""https://m.media-amazon.com/images/I/71Ks7-Fn8YL._AC_SL1500_.jpg""]"
