title,rating,initial_price,image,seller_name,product_description,brand
"DIODA DAMPER DMV 1500 TV POLYTRON NEW ORIGINAL SUPER","4.6","0","[""https://img.lazcdn.com/g/ff/kf/Sc92f4b3c99c0454fb5154a4c17216ce2z.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/ff/kf/Sc92f4b3c99c0454fb5154a4c17216ce2z.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/ff/kf/Sbe605ee6711744598f6a3b63e78f8884m.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/ff/kf/S1c305188f1864c939b5b520a4fe394468.jpg_120x120q80.jpg_.webp""]","YUDIANA YUDI SPERPAT ELEKTRONIK","TR. dioda power suplai tv polytron led 32 pld 32 d905w. mesin tv u slim polytron 29in second. mesin tv tabung polytron u slim 21. panel tv led polytron pld 32t7511. playback tv polytron minimax ori","TR"
"Victus Laptop Gaming HP AMD Ryzen 5 NVIDIA GeForce 8GB / 16GB RAM 512GB SSD Silver / Blue Windows 11 Home 15.6 Inch Garansi 2 Tahun Official","0","17555000","[""https://img.lazcdn.com/g/p/3440632c069eddd825c561221deb3d6c.png_720x720q80.png_.webp"",""https://img.lazcdn.com/g/p/3440632c069eddd825c561221deb3d6c.png_80x80q80.png_.webp"",""https://img.lazcdn.com/g/p/57e4d43a95f62a1e67a7da6614a91130.png_80x80q80.png_.webp"",""https://img.lazcdn.com/g/p/347b1be35156b27994be2d39ab9ac9af.png_80x80q80.png_.webp"",""https://img.lazcdn.com/g/p/3f36263e805c786ca7c1daa4efa730cd.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/8765a8835fd60ddf56d254fead4ac45a.png_80x80q80.png_.webp""]","HP","HP 15 6 Inci. laptop baru 2024 murah cuci gudang. laptop hp terbaru 2024 ram 8. laptop hp elitebook 745 g6. laptop hp terbaru 2024 ori. laptop untuk kuliah ram 16. Operating System: Windows 11 Home Single Language. Processor: AMD Ryzen 5 8645HS up to 5.0 GHz max boost clock, 16 MB L3 cache, 6 cores, 12 threads). Display: 39.6 cm 15.6 diagonal FHD display. Webcam: HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones","HP"
"Laptop HP 15s-fq5148TU Core i3 UHD 4GB & 8GB RAM 512GB SSD W11 15.6 Inch Intel Garansi 2 Tahun / 14s-dq5115TU / Official","5.0","6499000","[""https://img.lazcdn.com/g/p/23782d5f1bd37a89cc88a6cc1d200daa.png_720x720q80.png_.webp"",""https://img.lazcdn.com/g/p/23782d5f1bd37a89cc88a6cc1d200daa.png_120x120q80.png_.webp"",""https://img.lazcdn.com/g/p/abf190deeebe7ded32ce2a5f3a127c31.png_120x120q80.png_.webp"",""https://img.lazcdn.com/g/p/4643df2c889a053e8d1ab546ab7973db.png_120x120q80.png_.webp"",""https://img.lazcdn.com/g/p/59baa5214453afb2d3b65ff3146b1db0.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/d14081b924431293bcbfd62bf82a65b5.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/2aa4680c168ddb7c0ef34c3b518d4659.png_120x120q80.png_.webp"",""https://img.lazcdn.com/g/p/a32810251310cc23c4d27e6424bc2189.png_120x120q80.png_.webp"",""https://img.lazcdn.com/g/p/6cb63d52926cad0cf5af38789493f7eb.jpg_120x120q80.jpg_.webp""]","HP","HP SSHD 14. payleter lazada kredit laptop. laptop azus 14 inchi terbaru. laptop hp terbaru 2024 ori. laptop untuk kerja kantor. laptop intel terbaru 2024. Laptop HP 15s-fq5148TU 4GB 8U215PA. Laptop HP 15s-fq5148TU 8GB 8U215PA-8GB. Laptop HP 14s-dq5115TU 8R298PA. Color: Natural silver. Operating System: Windows 11 Home Single Language. Processor: Intel® Core i3-1115G4. Processor Family: 11th Generation Intel® Core i3 processor. Memory: 4 GB. Internal Storage: 512 GB PCIe® NVMe M. 2 SSD. Storage Type: SSD. Display: 14"". Ports: 1 SuperSpeed USB Type-C® 5Gbps signaling rate, 2 SuperSpeed USB Type-A 5Gbps signaling rate, 1 HDMI 1.4b, 1 AC smart pin, 1 headphone/microphone combo. Pointing Device: HP Imagepad with multi-touch gesture support, Precision Touchpad support. Audio Features: Dual speakers. Webcam: HP True Vision 720p HD camera with integrated dual array digital microphones. Keyboard: Full-size, backlit, natural silver keyboard. Wireless: Realtek RTL8821CE-M 802.11a/b/g/n/ac 1x1 Wi-","HP"
"Printer HP DeskJet 2336 All in One ( Print Scan Copy ) USB / 2377 / 2335 / 1216 / Garansi 1 Tahun Fotocopy Kertas A4 F4 Cetak Murah Color Colour Warna Official","5.0","990000","[""https://img.lazcdn.com/g/p/bf68d11f46c85761ada6c68141708638.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/bf68d11f46c85761ada6c68141708638.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/d22faa5f42ca40ae01f935c54137d644.png_80x80q80.png_.webp"",""https://img.lazcdn.com/g/p/820b01d78884a5f9420c990a3b73fee2.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/0ff3fff07c0f73120478fd0acbdaac45.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/0bd10d0c78451377b05bc56513cff2c8.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/e5d95fea984ece1aa18fa6701057ec71.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/efb538f28faf1cd5d1fef3711909a77a.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/dd4afde754fd51ca0522629f35eaf1b2.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/6f8a25f44874c114596f8d14da0b7a9f.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/7561b78ede76521489b0526d99ecfa4b.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/8ccfc231702d20abadd1981118311b00.jpg_80x80q80.jpg_.webp""]","HP","HP. printer bluetooth buat hp kertas hvs. mesin printer untuk laptop dan hp. mesin printer untuk cetak foto. mesin printer dan foto kopi. printer portable panjang a4. Color or black: Color. Connectivity: 1 Hi-Speed USB 2.0. Wireless capability: No. Max output capacity: Up to 25 sheets. Number of print cartridges: 2 1 each black, tri-color). Replacement cartridges: EMEA: HP 653 Tri-color Original Ink Advantage Cartridge 200 pages yield 3YM74AE, HP 653 Black Original Ink Advantage Cartridge 360 pages yield 3YM75AE. APJ: HP 682 Tri-color Original Ink Advantage Cartridge 150 pages yield 3YM76AA, HP 682 Black Original Ink Advantage Cartridge 480 pages yield 3YM77AA. LAR: HP 667 Tri-color Original Ink Advantage Cartridge 100 pages yield 3YM78AL, HP 667 Black Original Ink Advantage Cartridge 120 pages yield 3YM79AL, HP 667XL Black High-Yield Original Ink Advantage Cartridge 480 pages yield 3YM81AL, HP 667XL Tri-Color High-Yield Original Ink Advantage Cartridge 330 pages yield 3YM80AL, HP 667 ","HP"
"RODA KOPER, RODA PENGGANTI, RODA DOUBLE WHEEL, RODA PUTAR 360","5.0","0","[""https://img.lazcdn.com/g/p/abc4f89073ba5380c9cb7e648002e32f.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/abc4f89073ba5380c9cb7e648002e32f.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/f3384852543734988859c293ebbfce8f.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/f45a707b1dd7e3898f34320acbd8d277.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/925c863f08b7a68165ee916f7148640d.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/8f73389288712f0a881cbc0ec53cc4e1.jpg_80x80q80.jpg_.webp""]","dewi05588","WAJIB CHAT ADMINLANGSUNG BELI = NO RETURN","Tidak Ada Merk"
"TAS KOPER TROLI Lucu ANAK PEREMPUAN GARSEL HARGA GROSIR","4.0","0","[""https://img.lazcdn.com/g/p/9d00702fef4f02e6c1aa048b902fc361.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/9d00702fef4f02e6c1aa048b902fc361.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/70c61cab53df6a0abcacbaf6a43999a5.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/ff/kf/Se88fd50a6b584237a54c78be1ba60f6bh.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/465733fefe7a3fbe3cffd8b656239671.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/4f6ab0dd8a0b8131ff333850dfdeefc0.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/ba745f337a45c54dbccd6f1115763d44.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/ac57cc6d6f6a6a44fa060a9a3afe9015.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/ff/kf/Sf0f7990ab8dd43e0b7f7cb934dba2d26t.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/mdc/ef69cc7e18a3bb4c43fb26633208d84b.jpg_80x80q80.jpg_.webp""]","Shoes Distribution","Garsel Fashion Softcase Dolby uniseks. tas koper mini untuk anak sekolah. tas sekolah model koper anak tk. koper baju yang bisa di naikin. tas koper anak yang bisa jalan. koper yg bisa di dudukin anak. BAHAN DOLBY. PANJANG 27 CM. TINGGI 34 CM. LEBAR 12 CM","Garsel Fashion"
"Roda Koper Double Wheel Kanan Kiri Cocok Uk. Koper 18, 20, 22, 24","5.0","150000","[""https://img.lazcdn.com/g/p/262c841812dc01cf3c63aadfc84249ba.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/262c841812dc01cf3c63aadfc84249ba.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/26fbfcb844678b83ee5615d4cfe626ed.jpg_80x80q80.jpg_.webp"",""https://img.lazcdn.com/g/p/c8b5d60a3f269965c0112cda76056c5e.jpg_80x80q80.jpg_.webp""]","AzamS505","uniseks. koper polo fiber hardcase 24 inch. koper polo twin 20 inch roda 4. roda koper kecil 4 roda 4baud. koper murah dibawah 100 ribu. tas pakaian koper roda anak. Roda Koper 360 Derajat. Roda Koper 360 Derajat","No Brand"
"(400gr) TAS BELANJA - TAS TROLI - TAS LIPAT - TAS TROLI BELANJA - TAS RODA - TAS WANITA - TAS MURAH - SHOULDER BAG - TAS RANSEL - TAS KOPER - TAS JINJING - SLING BAG - TROLLEY BAG - TAS TRAVELLING - TOTE BAG - TAS BARANG - TAS ANAK - TAS DEWASA","0","0","[""https://img.lazcdn.com/g/p/a2b37b8475d7461b6b39aa3529a58b98.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/a2b37b8475d7461b6b39aa3529a58b98.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/cd1df463bc1f517d2c2d6c32d052efdb.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/cf5d0e69313cfd5886096169d2ea9acd.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/bc2f70f8fa02d8e1cc145351d61f524e.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/458183f259a2760c5969c051e93ac4f0.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/5e09fbae702c1dee05efa54af3bec369.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/90d6f97f0c28eaaf281b65477225081a.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/9f4d37b837974c0583cb62ff1db039ee.jpg_120x120q80.jpg_.webp""]","Joestar","koper pakaian untuk bepergian. tas traveling yg ada rodanya. travel bag trolley cabin. tas koper mini untuk hp. tas koper kabin pesawat. Ready warna. Hijau, Orange. LAGI BOOMING Shopping Trolley Bag. Pengganti Plastic belanja yang sekarang berbayar. Anda suka banget belanja. Tapi suka repot bawanya ngga sih, kalo barang belanjaannya banyak. Coba kalau kamu punya Fashion Shopping Trolley Bag ini, tas lipat yang ada rodanya ini bisa meringankan beban bawaan kamu. Modelnya keren serta stylish, bisa dilipet jadi tas pergi travelling juga oke. bisa belanja makin banyak pake Fashion Shopping Trolley Bag ini. Ukuran seblm di buka: 28 x 19cm. Ukuran sesudah di buka: 40 x 55 x 14cm. Kapasitas dibawah 30 kg. bahan: oxford dapat di cuci. Kualitas roda Bagus. Berat: 350 gram. Keunggulan: Bahan tebal. Mudah dibawah kemana-mana. Waktu di buka menjadi besar ditarik dengan roda, namun saat di pakai dipundak dibuka setengah sudah cukup. Tidak membeli asuransi siap dengan resiko barang pecah/rusak yg di","No Brand"
"HANDEL LOJEL WARNA,HANDEL KOPER, HANDEL KOPER VIBER, SPAREPART KOPER","4.6","0","[""https://img.lazcdn.com/g/ff/kf/S8a6c5b64363b4ac0b77f4da0a380d272G.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/6528f0de8f96a55385205f67eddae8dc.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/a759a2ffdc3aa4cd9ae03a4e129424ea.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/d13792a23afb281ebe7fa4ba76b7a419.jpg_120x120q80.jpg_.webp""]","dewi05588","Tidak Ada Merk. handle koper delsey 22 inc original. tas untuk les anak perempuan. pengganti handle koper lojel. handle koper pegangan 18 cm. koper baju buat mudik murah","Tidak Ada Merk"
"WIWA Tas Travel Bag Koper Selempang Anak Spiderman Ukuran Besar","4.9","0","[""https://img.lazcdn.com/g/p/ec665e931534f44f64dc43e9c615c706.jpg_720x720q80.jpg_.webp"",""https://img.lazcdn.com/g/p/ec665e931534f44f64dc43e9c615c706.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/1490284989c741a3a397a389f70554e0.jpg_120x120q80.jpg_.webp"",""https://img.lazcdn.com/g/p/0c1dc80b162258549f3d2005d9a05744.jpg_120x120q80.jpg_.webp""]","WIWA","Kulit. TRAVEL BAG/TAS TRAVEL. UKURAN 40X28X15CM. BAHAN SPONS TEBAL ANTI AIR. BISA DIJINJING DAN DISELEMPANG. DOUBLE RESLETING, BISA DIGEMBOK. DI DALAMNYA TERDAPAT RESLETING KANTUNG JARING. BAGIAN BAWAH TERDAPAT PIJAKAN KAKI AGAR TAS TIDAK MUDAH KOTOR. BISA MUAT BAJU 10PCS, BUAT BEPERGIAN 2-3 HARI. COCOK UNTUK MUDIK, TRAVELING. TRAVEL BAG/TAS TRAVEL. UKURAN 40X28X15CM. BAHAN SPONS TEBAL ANTI AIR. BISA DIJINJING DAN DISELEMPANG. DOUBLE RESLETING, BISA DIGEMBOK. DI DALAMNYA TERDAPAT RESLETING KANTUNG JARING. BAGIAN BAWAH TERDAPAT PIJAKAN KAKI AGAR TAS TIDAK MUDAH KOTOR. BISA MUAT BAJU 10PCS, BUAT BEPERGIAN 2-3 HARI. COCOK UNTUK MUDIK, TRAVELING","No Brand"
